SYMBOL,DATE,TIME,PRICE,SIZE,G127,CORR,COND,EX
A,19018," datetime.time(9, 2, 28)",44.0263,1117,0,0,,D
A,19018," datetime.time(10, 2, 29)",44.32,100,0,0,T,T
A,19018," datetime.time(10, 2, 3)",44.19,100,0,0,F,P
A,19018," datetime.time(10, 2, 30)",44.27,400,0,0,@,T
A,19018," datetime.time(10, 2, 36)",44.27,400,0,0,Q,T
A,19018," datetime.time(10, 2, 37)",44.27,100,0,0,@,T
A,19018," datetime.time(10, 2, 39)",44.27,100,0,0,@,T
A,19018," datetime.time(10, 2, 42)",44.26,100,0,0,Q,P
A,19018," datetime.time(10, 2, 43)",44.26,100,0,0,@,P
A,19018," datetime.time(10, 2, 45)",44.26,100,0,0,@,P
B,19018," datetime.time(10, 2, 47)",44.3,100,0,0,@,T
B,19018," datetime.time(10, 2, 48)",44.3,100,0,0,@,T
B,19018," datetime.time(10, 2, 5)",44.33,30464,0,0,O,N
B,19018," datetime.time(10, 2, 51)",44.33,200,0,0,F,T
B,19018," datetime.time(10, 2, 52)",44.26,100,0,0,@,T
B,19018," datetime.time(10, 2, 53)",44.26,100,0,0,@,P
B,19018," datetime.time(10, 2, 56)",44.3,200,0,0,F,N
B,19018," datetime.time(10, 2, 57)",44.32,300,0,0,@,N
B,19018," datetime.time(10, 2, 59)",44.32,100,0,0,F,K
B,19018," datetime.time(10, 2, 6)",44.2001,500,0,0,@,D
B,19018," datetime.time(10, 2, 8)",44.275,100,0,0,@,D
B,19018," datetime.time(10, 2, 9)",44.265,100,0,0,@,D
B,19018," datetime.time(10, 20, 1)",44.29,100,0,0,F,T
B,19018," datetime.time(10, 20, 10)",44.31,100,0,0,F,P
B,19018," datetime.time(10, 20, 12)",44.31,100,0,0,F,T
B,19018," datetime.time(10, 20, 13)",44.31,100,0,0,F,T
B,19018," datetime.time(10, 20, 15)",44.34,100,0,0,F,T
B,19018," datetime.time(10, 20, 17)",44.34,100,0,0,F,T
B,19018," datetime.time(10, 20, 18)",44.34,200,0,0,F,T
B,19018," datetime.time(10, 20, 23)",44.35,100,0,0,F,T
B,19018," datetime.time(10, 20, 24)",44.36,100,0,0,F,T
B,19018," datetime.time(10, 20, 29)",44.29,100,0,0,@,K
B,19018," datetime.time(10, 20, 30)",44.34,100,0,0,F,N
C,19018," datetime.time(10, 20, 31)",44.35,100,0,0,F,N
C,19018," datetime.time(10, 20, 36)",44.29,100,0,0,@,K
C,19018," datetime.time(10, 20, 37)",44.34,100,0,0,F,K
C,19018," datetime.time(10, 20, 4)",44.34,100,0,0,F,K
C,19018," datetime.time(10, 20, 42)",44.36,100,0,0,F,T
C,19018," datetime.time(10, 20, 48)",44.4,100,0,0,F,N
C,19018," datetime.time(10, 20, 49)",44.36,100,0,0,F,T
C,19018," datetime.time(10, 20, 51)",44.37,200,0,0,F,T
C,19018," datetime.time(10, 21, 1)",44.37,100,0,0,F,T
C,19018," datetime.time(10, 21, 13)",44.32,100,0,0,F,T
C,19018," datetime.time(10, 21, 22)",44.275,100,0,0,@,D
C,19018," datetime.time(10, 21, 26)",44.37,100,0,0,@,T
